과제1 f1 2.0 4.0  
  i                 xn1                              | f(xn1) |
  5    3.294062500000000e+00    1.576250851210403e-02
  6    3.298906250000000e+00    2.910112113063690e-03
  7    3.301328125000000e+00    3.537597931305925e-03
  8    3.300117187500000e+00    3.119697382700792e-04
  9    3.299511718750000e+00    1.299515944999996e-03
 10    3.299814453125000e+00    4.938841097796853e-04
 11    3.299965820312500e+00    9.098491450032498e-05
 12    3.300041503906250e+00    1.104854825868529e-04
 13    3.300003662109375e+00    9.748551370591940e-06
 14    3.299984741210937e+00    4.061861475435080e-05
 15    3.299994201660156e+00    1.543514000701407e-05
 16    3.299998931884765e+00    2.843321375678443e-06
 17    3.300001296997070e+00    3.452608204668195e-06

과제1 f3 3.83 4.61
  i                 xn1                              | f(xn1) |
  0    4.220000000000001e+00    1.043677439999946e+00
  1    4.415000000000001e+00    1.228070756250830e-01
  2    4.317500000000001e+00    5.719134905858638e-01
  3    4.366250000000001e+00    2.546190068334724e-01
  4    4.390625000000001e+00    7.370435628904914e-02
  5    4.402812500000001e+00    2.256605607454532e-02
  6    4.396718750000002e+00    2.606099208150425e-02
  7    4.399765625000001e+00    1.870987694751136e-03
  8    4.401289062500002e+00    1.031658425427651e-02
  9    4.400527343750001e+00    4.215069552465422e-03
 10    4.400146484375002e+00    1.170109841105216e-03
 11    4.399956054687502e+00    3.509215618962003e-04
 12    4.400051269531252e+00    4.094734636694852e-04
 13    4.400003662109377e+00    2.924578399898792e-05
 14    4.399979858398440e+00    1.608454305070950e-04
 15    4.399991760253908e+00    6.580170855130518e-05
 16    4.399997711181642e+00    1.827843367863125e-05
 17    4.400000686645510e+00    5.483557409036166e-06
 18    4.399999198913576e+00    6.397467466001672e-06

과제2 33.0
  i                 xn1                              | f(xn1) |
  0    3.300000000000000e+01    3.434111718478194e+01
  1    3.242490719716647e+01    3.195993587951808e+00
  2    3.248531333657944e+01    1.762793644939915e-01
  3    3.248230378537768e+01    3.869300062593339e-04
  4    3.248229715028958e+01    1.893502243888179e-09
